"time",CL3-C.01(LPV_4BP8C3DSMSAP1),CL3-C.02(LPV_4BP8C4DSMSAP2),CL3-C.03(LPV_4BP8C3DSMSDB1),CL3-C.04(LPV_4BP8C4DSMSDB2),CL3-C.05(LPV_4BP8E1AMLERAAP1),CL3-C.06(LPV_4BP8E2AMLERAAP2),CL3-C.07(LPV_4BP8E1AMLERADB1),CL3-C.08(LPV_4BP8E2AMLERADB2),CL3-C.09(LPV_4BP8C3DSMSIMG1),CL3-C.0A(LPV_4BP8C4DSMSIMG2)
"2020/08/09 00:13",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:14",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:15",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:16",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:17",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:18",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:19",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:20",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:21",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:22",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:23",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:24",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:25",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:26",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:27",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:28",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:29",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:30",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:31",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:32",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:33",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:34",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:35",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:36",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:37",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:38",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:39",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:40",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:41",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:42",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:43",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:44",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:45",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:46",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:47",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:48",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:49",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:50",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:51",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:52",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:53",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:54",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:55",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:56",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:57",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:58",0,0,0,0,0,0,0,0,0,0
"2020/08/09 00:59",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:00",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:01",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:02",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:03",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:04",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:05",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:06",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:07",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:08",0,0,0,0,0,0,0,0,0,0
"2020/08/09 01:09",112237,112237,3600,3600,113,113,4140,0,0,0
"2020/08/09 01:10",100847,100847,2112,2112,0,0,3956,0,0,0
"2020/08/09 01:11",73445,73445,2612,2612,100,100,4704,4704,0,0
"2020/08/09 01:12",60081,60081,420,420,1,1,5720,5720,0,0
"2020/08/09 01:13",83498,83498,2674,2674,100,100,3958,3958,0,0
"2020/08/09 01:14",4865,4865,473,473,0,0,1370,1370,0,0
"2020/08/09 01:15",5389,5389,2611,2611,87,87,323,323,0,0
"2020/08/09 01:16",4957,4957,222,222,12,12,4796,4796,0,0
"2020/08/09 01:17",4735,4735,2904,2904,75,75,5563,5563,0,0
"2020/08/09 01:18",5764,5764,107,107,25,25,1225,1225,0,0
"2020/08/09 01:19",5689,5689,2974,2974,75,75,317,317,0,0
"2020/08/09 01:20",3953,3953,107,107,25,25,1220,1220,0,0
"2020/08/09 01:21",4947,4947,2693,2693,75,75,321,321,0,0
"2020/08/09 01:22",10341,10341,396,396,25,25,10052,10052,0,0
"2020/08/09 01:23",104,104,2687,2687,75,75,3957,3957,0,0
"2020/08/09 01:24",32,32,391,391,25,25,1222,1222,0,0
"2020/08/09 01:25",88,88,2687,2687,75,75,135819,135819,0,0
"2020/08/09 01:26",32,32,100,100,25,25,390708,390708,0,0
"2020/08/09 01:27",57,57,4950,4950,75,75,406565,406565,0,0
"2020/08/09 01:28",57,57,108,108,25,25,676831,676831,0,0
"2020/08/09 01:29",56,56,2976,2976,75,75,1451378,1451378,0,0
"2020/08/09 01:30",58,58,2028,2028,25,25,1321486,1321486,0,0
"2020/08/09 01:31",57,57,3358,3358,75,75,524142,524142,0,0
"2020/08/09 01:32",57,57,388,388,25,25,193367,193367,0,0
"2020/08/09 01:33",56,56,2702,2702,75,75,386019,386019,0,0
"2020/08/09 01:34",32,32,388,388,25,25,418570,418570,0,0
"2020/08/09 01:35",98,98,2690,2690,75,75,882009,882009,0,0
"2020/08/09 01:36",32,32,122,122,25,25,1476523,1476523,0,0
"2020/08/09 01:37",88,88,2962,2962,75,75,1171471,1171471,0,0
"2020/08/09 01:38",5,5,768,768,25,25,391958,391958,0,0
"2020/08/09 01:39",113,113,3089,3089,75,75,403543,403543,0,0
"2020/08/09 01:40",9,9,97,97,25,25,732296,732296,0,0
"2020/08/09 01:41",134,134,2698,2698,75,75,686927,686927,0,0
"2020/08/09 01:42",32,32,378,378,25,25,1124653,1124653,0,0
"2020/08/09 01:43",88,88,2706,2706,75,75,1560581,1560581,0,0
"2020/08/09 01:44",32,32,381,381,25,25,1562320,1562320,0,0
